image_name,label,label_test_0,label_tta_0,label_tmix_0,label_test_1,label_tta_1,label_tmix_1,label_test_2,label_tta_2,label_tmix_2,label_test_3,label_tta_3,label_tmix_3,label_test_4,label_tta_4,label_tmix_4
2176.png,0.036557723,0.042529512,0.044152815,0.042529512,0.040136606,0.036153782,0.036153782,0.03442258,0.03423961,0.03423961,0.031108594,0.041587878,0.031108594,0.03875711,0.06469394,0.03875711
2177.png,0.46015674,0.05900486,0.06267967,0.05900486,0.91559696,0.91695994,0.91695994,0.2855567,0.43477014,0.2855567,0.20446882,0.20592691,0.20446882,0.8347932,0.4480511,0.8347932
2178.png,0.052059673,0.04217765,0.043809537,0.04217765,0.06459134,0.074359074,0.06459134,0.03523764,0.03767847,0.03523764,0.050723154,0.05222807,0.050723154,0.0675869,0.0675686,0.0675686
2179.png,0.95506513,0.9600004,0.95630586,0.9600004,0.95436424,0.95160747,0.95436424,0.95887995,0.9574598,0.95887995,0.96244466,0.9604682,0.96244466,0.93963677,0.9388637,0.93963677
2180.png,0.049555544,0.04528355,0.04623764,0.04528355,0.04827641,0.050690677,0.04827641,0.049319867,0.049727555,0.049319867,0.05448619,0.07228168,0.05448619,0.050411705,0.051287193,0.050411705
2181.png,0.9512602,0.94355536,0.94561124,0.94561124,0.9594078,0.9538421,0.9594078,0.94120455,0.94107056,0.94120455,0.95598173,0.9470326,0.95598173,0.9540955,0.95171714,0.9540955
2182.png,0.04968782,0.034674667,0.0377041,0.034674667,0.061494417,0.06277581,0.061494417,0.046341028,0.045979455,0.045979455,0.051045388,0.055510227,0.051045388,0.058788925,0.055245172,0.055245172
2183.png,0.25490654,0.15831377,0.33564073,0.15831377,0.30751586,0.6696208,0.30751586,0.061977535,0.15860552,0.061977535,0.71304125,0.7192677,0.7192677,0.027457813,0.07652925,0.027457813
2184.png,0.4656709,0.49317038,0.544459,0.544459,0.40191165,0.36711252,0.36711252,0.092009716,0.13225622,0.092009716,0.9125257,0.89806634,0.9125257,0.41224766,0.45045215,0.41224766
2185.png,0.44395876,0.59988,0.520834,0.59988,0.77810484,0.8377605,0.8377605,0.6327367,0.5560837,0.6327367,0.0626453,0.14084041,0.0626453,0.08677156,0.14520656,0.08677156
2186.png,0.053184457,0.036289364,0.038471133,0.036289364,0.05423767,0.057084907,0.05423767,0.058254726,0.06764831,0.058254726,0.048488867,0.05998591,0.048488867,0.07054285,0.06865165,0.06865165
2187.png,0.5114126,0.1961728,0.27304837,0.1961728,0.74176973,0.7053255,0.74176973,0.57751936,0.6692548,0.6692548,0.14556421,0.22261673,0.14556421,0.80430174,0.80171794,0.80430174
2188.png,0.058104236,0.039779674,0.045638386,0.039779674,0.062151812,0.06670086,0.062151812,0.072679386,0.10368564,0.072679386,0.04527065,0.09695719,0.04527065,0.070639655,0.10638223,0.070639655
2189.png,0.06627846,0.04649852,0.048894044,0.04649852,0.049656328,0.05145841,0.049656328,0.07313417,0.057867218,0.057867218,0.05710723,0.06399972,0.05710723,0.17789222,0.12026299,0.12026299
2190.png,0.04769831,0.04712129,0.047441233,0.04712129,0.047434196,0.047193646,0.047193646,0.041773763,0.043362286,0.041773763,0.060238644,0.07774068,0.060238644,0.04216421,0.044591013,0.04216421
2191.png,0.7447205,0.9488724,0.9467438,0.9488724,0.95060694,0.9238819,0.95060694,0.05837234,0.08924082,0.05837234,0.9514788,0.9521409,0.9521409,0.72034985,0.8136099,0.8136099
2192.png,0.14209364,0.07495956,0.17771657,0.07495956,0.05044069,0.051386904,0.05044069,0.23575132,0.20375293,0.20375293,0.19739315,0.17710228,0.17710228,0.3133431,0.20421278,0.20421278
2193.png,0.7090571,0.8900342,0.8911437,0.8911437,0.87194103,0.90207255,0.90207255,0.8342244,0.87813807,0.87813807,0.74126273,0.7314323,0.74126273,0.19311582,0.13266851,0.13266851
